Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Salaries & Benefits,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,"175,685","185,212","197,064","204,975","240,806","265,114","291,110","296,970","311,852","323,750","308,723","313,882","308,900","285,687","273,559","257,900","287,608","310,013","$330,276.10 ",276089,"175,368","183,826","197,064","200,995","235,594","260,646","290,518","296,970","311,825","321,326","308,721","309,560","297,685","283,806","273,532","250,863","287,608","308,432","329,599.72"
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Office Supplies,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,"10,954","4,982","6,186","7,583","8,000","8,000","8,000","7,445","3,225","4,450","5,770","6,018","4,900","5,168","4,697","3,589","2,272","1,032","$2,580.32 ",3000,"10,954","4,982","4,318","7,583","5,430","6,194","2,932","7,445","3,217","4,449","5,770","6,018","4,830","5,168","4,697","3,444","2,272","1,032","2,500.36"
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Postage,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,"11,965","9,000","11,010","8,850","10,067","18,124","11,883","8,340","4,520","3,800","3,691","5,000","6,700","10,000",170,"1,700","1,176","1,985",$268 ,1000,"11,965","8,236","11,010","8,850","10,067","18,124","11,883","6,396","4,520","3,782","3,668","4,814","6,632","10,000",170,"1,676","1,176","1,676",268
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Travel,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,578,699,"2,000","1,125","1,500","1,500","1,500","1,500","1,213","1,550","1,500","1,400","1,500","1,802",517,500,265,289,$40 ,200,578,606,819,"1,125",702,"1,128",313,0,"1,213","1,349","1,484","1,333","1,494","1,802",517,305,265,289,40
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Telephone,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,"2,989","4,008","4,837","4,500","5,318","6,224","6,300","7,072","4,661","5,600","7,286","5,950","5,500","5,448","4,857","4,650","6,289","4,719","$3,324.32 ",5211,"2,989","4,008","4,837","4,349","5,318","5,852","5,533","6,165","4,661","5,552","7,286","5,822","5,337","4,723","4,857","4,616","6,289","4,616","3,324.32"
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Insurance,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,413,86,54,500,500,500,500,500,362,200,226,200,800,218,30,100,22,0,$20 ,0,413,86,54,0,369,50,21,40,362,16,226,114,795,0,30,0,22,0,20
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Miscellaneous,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,"2,921","6,169","4,722","5,170","1,421","1,360","5,000","5,000","2,194","5,640","2,504","2,450","6,020","15,766","4,159",650,"2,218",0,$63.30 ,0,"2,889","6,140","2,031","5,170","1,421",558,"1,048",657,"2,194","5,578","2,440","2,407","5,994","15,270","4,159",962,"3,453",0,63.3
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Equipment ,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,18,"1,490","1,000","3,091","1,539","5,000","5,000","10,000",0,"5,010","20,297","15,100","3,280","6,760","3,157","3,500","1,176","1,553","$5,885.10 ",7500,18,"1,490",981,0,234,0,0,"1,212",0,"4,955","20,298","14,723","2,396","6,419","3,157","3,463","1,176","1,553","5,885.10"
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,System Updates and Programming,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,"10,796","9,902","5,807","10,180","14,655","2,516","7,117",0,0,0,0,0,0,0,0,"4,000","3,988","5,648","$6,098.86 ",4000,"10,796","9,902","4,960","10,180","14,655",222,162,0,0,0,0,0,0,0,0,"3,634","3,988","5,648","6,098.86"
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Salaries & Benefits,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,"107,715","121,215","129,015","130,664","144,364","151,219","155,080","155,735","157,704","169,910","174,175","182,525","161,942","155,873","142,426","144,284","162,294","169,105","$162,964.35 ",140000,"107,501","118,039","124,596","127,114","139,176","144,949","152,297","147,973","157,694","169,544","172,436","180,520","161,942","155,873","142,426","144,284","162,294","169,105","162,834.98"
